Indicator,Country,ISO3,Land_Type,Season,Date,Data,Year,Month,Dekad,Unit,Source
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-03-11,32.624,2018,3,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-03-21,48.477,2018,3,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-04-01,18.919,2018,4,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-04-11,16.716,2018,4,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-04-21,8.934,2018,4,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-05-01,9.494,2018,5,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-05-11,15.264,2018,5,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-05-21,9.934,2018,5,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-06-01,5.747,2018,6,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-06-11,6.289,2018,6,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-06-21,6.202,2018,6,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-07-01,3.947,2018,7,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-07-11,7.456,2018,7,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-07-21,6.456,2018,7,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-08-01,4.951,2018,8,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-08-11,9.096,2018,8,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-08-21,28.504,2018,8,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-09-01,21.988,2018,9,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-09-11,13.608,2018,9,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-09-21,15.529,2018,9,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-10-01,8.262,2018,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-10-11,6.826,2018,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-10-21,3.356,2018,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-11-01,4.343,2018,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-11-11,3.84,2018,11,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-11-21,6.008,2018,11,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-12-01,8.731,2018,12,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-12-11,11.089,2018,12,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2018-12-21,13.033,2018,12,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-01-01,16.101,2019,1,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-01-11,16.755,2019,1,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-01-21,16.852,2019,1,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-02-01,14.624,2019,2,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-02-11,14.334,2019,2,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-02-21,16.016,2019,2,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-03-01,9.146,2019,3,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-03-11,23.649,2019,3,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-03-21,31.361,2019,3,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-04-01,19.075,2019,4,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-04-11,11.521,2019,4,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-04-21,19.706,2019,4,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-05-01,23.622,2019,5,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-05-11,23.474,2019,5,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-05-21,16,2019,5,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-06-01,8.56,2019,6,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-06-11,10.063,2019,6,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-06-21,4.651,2019,6,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-07-01,2.193,2019,7,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-07-11,1.316,2019,7,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-07-21,3.659,2019,7,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-08-01,3.307,2019,8,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-08-11,3.689,2019,8,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-08-21,9.788,2019,8,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-09-01,9.713,2019,9,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-09-11,4.616,2019,9,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-09-21,3.305,2019,9,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-10-01,1.003,2019,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-10-11,0.386,2019,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-10-21,1.601,2019,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-11-01,1.647,2019,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-11-11,1.865,2019,11,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-11-21,1.202,2019,11,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-12-01,1.746,2019,12,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-12-11,4.576,2019,12,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2019-12-21,5.696,2019,12,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-01-01,3.616,2020,1,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-01-11,4.615,2020,1,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-01-21,4.575,2020,1,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-02-01,5.505,2020,2,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-02-11,6.481,2020,2,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-02-21,7.749,2020,2,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-03-01,4.306,2020,3,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-03-11,7.879,2020,3,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-03-21,10.606,2020,3,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-04-01,14.195,2020,4,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-04-11,8.978,2020,4,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-04-21,1.319,2020,4,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-05-01,0.459,2020,5,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-05-11,8.333,2020,5,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-05-21,2.342,2020,5,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-06-01,3.817,2020,6,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-06-11,4.459,2020,6,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-06-21,0,2020,6,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-07-01,3.067,2020,7,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-07-11,0.22,2020,7,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-07-21,0,2020,7,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-08-01,0,2020,8,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-08-11,0.308,2020,8,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-08-21,0.339,2020,8,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-09-01,3.092,2020,9,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-09-11,3.81,2020,9,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-09-21,6.452,2020,9,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-10-01,3.97,2020,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-10-11,3.205,2020,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-10-21,3.745,2020,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-11-01,3.255,2020,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-11-11,4.006,2020,11,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-11-21,4.421,2020,11,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-12-01,4.595,2020,12,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-12-11,6.506,2020,12,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2020-12-21,8.02,2020,12,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-01-01,9.033,2021,1,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-01-11,8.657,2021,1,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-01-21,8.347,2021,1,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-02-01,8.405,2021,2,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-02-11,7.077,2021,2,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-02-21,4.688,2021,2,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-03-01,19.31,2021,3,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-03-11,20.909,2021,3,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-03-21,26.209,2021,3,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-04-01,28.747,2021,4,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-04-11,25.203,2021,4,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-04-21,25.263,2021,4,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-05-01,9.896,2021,5,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-05-11,13.623,2021,5,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-06-21,10.078,2021,6,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-07-01,9.048,2021,7,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-07-11,0.651,2021,7,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-07-21,0.578,2021,7,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-08-01,0.177,2021,8,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-08-11,0.524,2021,8,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-08-21,0.32,2021,8,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-09-01,0.92,2021,9,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-09-11,1.521,2021,9,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-09-21,1.005,2021,9,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-10-01,0.564,2021,10,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-10-11,1.803,2021,10,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-10-21,2.048,2021,10,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-11-01,3.083,2021,11,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-11-11,3.628,2021,11,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-11-21,3.437,2021,11,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-12-01,5.243,2021,12,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-12-11,6.4,2021,12,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2021-12-21,7.429,2021,12,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-01-01,7.215,2022,1,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-01-11,7.557,2022,1,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-01-21,6.918,2022,1,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-02-01,8.961,2022,2,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-02-11,9.441,2022,2,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-02-21,5.837,2022,2,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-03-01,10.508,2022,3,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-03-11,16.185,2022,3,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-03-21,20.153,2022,3,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-04-01,25.105,2022,4,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-04-11,30.556,2022,4,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-04-21,21.02,2022,4,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-05-01,26.115,2022,5,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-05-11,32.885,2022,5,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-05-21,34.868,2022,5,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-06-01,28.077,2022,6,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-06-11,24.528,2022,6,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-06-21,25.581,2022,6,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-07-01,14.216,2022,7,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-07-11,7.191,2022,7,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-07-21,2.567,2022,7,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-08-01,1.128,2022,8,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),YEM,Yemen,Crop Area,Season 1,2022-08-11,0.315,2022,8,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-01-01,0,1984,1,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-01-11,33.333,1984,1,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-01-21,18.182,1984,1,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-02-01,5.263,1984,2,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-02-11,3.419,1984,2,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-02-21,0.599,1984,2,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-03-01,0,1984,3,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-03-11,0,1984,3,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-03-21,0,1984,3,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-04-01,0,1984,4,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-04-11,0,1984,4,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-04-21,0,1984,4,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-05-01,0,1984,5,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-05-11,0,1984,5,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-05-21,0,1984,5,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-06-01,0,1984,6,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-06-11,0,1984,6,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-06-21,0,1984,6,3, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-07-01,0,1984,7,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-09-01,0,1984,9,1, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-09-11,0,1984,9,2, % of area with Mean VHI below 35 ,FAO-ASIS
Agricultural Stress Index (ASI),ZMB,Zambia,Crop Area,Season 1,1984-09-21,0,1984,9,3, % of area with Mean VHI below 35 ,FAO-ASIS
